,M_t,G_t,TB_t,PROFIT_t,r_t,DSR_t,TCCSLOAN_t,PIE_t,Y_t,pi_t,CS_t
2009-03-31,3.203834888494761,3.9878923500658914,-32771.0,37.572392947483465,0.18,15.5975,2636129.82,0.4,-1.1413631359902254,-0.6902452638324341,5.48
2009-06-30,1.212078209860934,5.898922902477999,-27821.0,6.319365593921411,0.18,15.251967,2605819.73,1.12,-0.178810721762801,0.530191316767592,4.65
2009-09-30,0.34919749734125816,0.23328140047063073,-33409.0,14.202547287869915,0.16,15.08588,2583191.79,1.3,0.3505771547139602,0.8567130474912865,3.15
2009-12-31,0.5068255350629158,0.7814493573905068,-37589.0,8.115026166849937,0.12,14.896385,2556669.55,1.72,1.0751135379244658,0.7798843341534578,2.87
2010-03-31,0.04466594648526723,4.124516845265447,-39840.0,4.672185349999136,0.13,14.51494,2536694.75,1.96,0.483331022067901,0.1583779485945236,2.57
2010-06-30,1.0265014024779973,0.9431877480535533,-43633.0,-0.6502474262820357,0.19,14.069775,2524289.71,1.8,0.9629349822608546,-0.035429095019168244,2.6899999999999995
2010-09-30,0.9803716400027085,1.2397631964672584,-43854.0,5.348252481762472,0.19,13.917807,2521207.05,1.35,0.7681272705003295,0.292718328813546,3.0000000000000004
2010-12-31,1.2749523216054826,0.4568660194243179,-40369.0,0.05907662738033892,0.19,13.580863,2569383.17,1.6,0.523736364445071,0.8066163062066423,3.04
2011-03-31,1.282481716851791,0.03828860231323006,-45729.0,-8.46114999982035,0.16,13.30846,2664390.47,2.06,-0.23748667360496967,1.061713271295961,2.63
2011-06-30,2.1788757590270436,0.9950686754978122,-46764.0,4.2871026141786395,0.09,13.057706,2685670.64,2.14,0.6743037468666557,1.1302996209912486,2.6499999999999995
2011-09-30,3.9461092641406736,-1.7173800000554351,-44866.0,0.7569930953774673,0.08,12.944597,2715579.43,1.8,-0.0223152255784953,0.6502449670132471,3.05
2011-12-31,1.6620184957579553,0.07119872127212545,-47481.0,4.868383362085726,0.07,12.749684,2743662.22,1.71,1.1167896811464573,0.4476038196123966,3.2
2012-03-31,1.7624866861202904,-0.3222911470112777,-47552.0,14.710322869512993,0.1,12.237059,2779778.07,1.92,0.8350941818790147,0.5617387782061556,3.16
2012-06-30,1.5422231535495712,-0.03914028689155913,-44963.0,-4.023558023483176,0.15,12.034065,2816716.88,1.87,0.4453416266322563,0.21087916393058848,3.26
2012-09-30,1.867557140161047,0.1174014057189865,-41743.0,0.9861340736617485,0.14,12.083107,2854313.95,1.93,0.14392437648620415,0.45045415849909176,3.24
2012-12-31,2.2440199108729075,-0.2066041423406162,-41044.0,-1.6418939346064754,0.16,11.754033,2899343.78,2.11,0.11557374157504796,0.6626073114399667,2.8600000000000003
2013-03-31,1.5255198179707108,-0.28439370888992954,-38484.0,-0.9073158807553661,0.14,12.006598,2949336.45,2.22,0.9817259265515688,0.4011496360058153,2.8599999999999994
2013-06-30,1.0675282999725866,0.4575291866169451,-38205.0,-0.40606143096457714,0.12,11.794391,2987456.69,1.96,0.26727882651371715,-0.10940166141217844,2.83
2013-09-30,1.376525974372278,-0.06122049914907279,-37630.0,2.1034470122995863,0.08,11.837713,3030276.09,1.83,0.8477896552497199,0.5393860652711524,2.6900000000000004
2013-12-31,1.940400485587368,-0.033420852457943795,-34635.0,2.6822432419712605,0.09,11.985283,3076574.6,1.73,0.8679640238263175,0.3692275026824454,2.62
2014-03-31,1.5487544099892503,1.2365762069473263,-40164.0,-3.4615448909707247,0.07,11.883752,3132530.59,1.76,-0.34569281496601434,0.6207127876649565,2.35
2014-06-30,1.3522069046885576,1.4728403845888138,-40735.0,5.496156652433193,0.09,11.62113,3191893.55,1.9,1.2835690229149321,0.5295328917980235,2.2
2014-09-30,1.2530986460044247,1.4230048021451225,-39181.0,2.9495453626786627,0.09,11.646935,3248452.8,1.83,1.2080648325781596,0.2555076756340924,2.24
2014-12-31,1.4226025560303057,-0.12654179947055866,-41238.0,-1.6721071165270551,0.1,11.631979,3289342.22,1.41,0.5044586015433339,-0.24875320079189578,2.4500000000000006
2015-03-31,1.9875785697806236,1.103209029142782,-40500.0,-5.2233086013204755,0.11,11.556607,3339448.03,1.35,0.8964547876924911,-0.6492443021456573,2.5300000000000002
2015-06-30,0.8676880432076928,0.5167209337301415,-40254.0,1.1597698192654882,0.12,11.485107,3402411.95,1.63,0.6174946582536478,0.679633794368506,2.67
2015-09-30,1.0811544995000588,0.528123778331846,-42062.0,-2.9903487296220277,0.14,11.606456,3464086.78,1.3,0.39944621156902116,0.37698937901513574,3.02
2015-12-31,1.5712453409227223,0.9548945194699954,-40776.0,-5.364275879631286,0.16,11.738949,3471227.48,1.23,0.18430917271050618,-0.00756792210445667,3.23
2016-03-31,2.255855732134826,0.8332013936495741,-40050.0,3.3313651442354875,0.36,11.763221,3441488.84,1.23,0.5778466518471248,-0.062246861277248655,3.3899999999999997
2016-06-30,1.5925838711476459,0.4240204087178512,-39600.0,3.242664560148789,0.37,11.766084,3504622.06,1.48,0.32060956626729364,0.7966032667445333,2.91
2016-09-30,1.5013103490412405,1.1840208548402842,-39027.0,-0.42283588244860226,0.4,11.769825,3564854.9,1.35,0.7068859191104337,0.4235767905926835,2.6999999999999997
2016-12-31,1.5732931415710638,0.599572296125217,-41142.0,3.6624574611356486,0.45,11.865788,3618720.86,1.67,0.5527685286210726,0.6330524806000604,2.4999999999999996
2017-03-31,1.4621686160841918,0.4015913191491194,-41488.0,5.9842572463796095,0.7,11.723732,3669549.96,1.87,0.48570873310360696,0.7012749584807132,2.21
2017-06-30,1.1981624474596941,0.0783756374161726,-43597.0,-1.2700157616515106,0.95,11.756954,3713880.21,1.71,0.5583111012978037,0.11517362362916117,2.2300000000000004
