,Y_t,pi_t,r_t,M_t
2007-06-30,0.6098982914680917,1.1261884506108544,5.25,1.6762768122575267
2007-09-30,0.5743731109307149,0.6310173626604687,5.07,1.5646136139856992
2007-12-31,0.6262715512194816,1.2193378597032734,4.5,1.0748078951342777
2008-03-31,-0.42767755900321447,1.0773624029876139,3.18,1.8867982866634492
2008-06-30,0.5936625931315831,1.292545801987277,2.09,1.6966813527005797
2008-09-30,-0.5266423802783748,1.5299597005309806,1.94,1.2334323558183868
2008-12-31,-2.2133412739485436,-2.316666662371425,0.51,3.0936270239010355
2009-03-31,-1.1413631359902254,-0.6902452638324341,0.18,3.203834888494761
2009-06-30,-0.178810721762801,0.530191316767592,0.18,1.212078209860934
2009-09-30,0.3505771547139602,0.8567130474912865,0.16,0.34919749734125816
2009-12-31,1.0751135379244658,0.7798843341534578,0.12,0.5068255350629158
2010-03-31,0.483331022067901,0.1583779485945236,0.13,0.04466594648526723
2010-06-30,0.9629349822608546,-0.035429095019168244,0.19,1.0265014024779973
2010-09-30,0.7681272705003295,0.292718328813546,0.19,0.9803716400027085
2010-12-31,0.523736364445071,0.8066163062066423,0.19,1.2749523216054826
2011-03-31,-0.23748667360496967,1.061713271295961,0.16,1.282481716851791
2011-06-30,0.6743037468666557,1.1302996209912486,0.09,2.1788757590270436
2011-09-30,-0.0223152255784953,0.6502449670132471,0.08,3.9461092641406736
2011-12-31,1.1167896811464573,0.4476038196123966,0.07,1.6620184957579553
2012-03-31,0.8350941818790147,0.5617387782061556,0.1,1.7624866861202904
2012-06-30,0.4453416266322563,0.21087916393058848,0.15,1.5422231535495712
2012-09-30,0.14392437648620415,0.45045415849909176,0.14,1.867557140161047
2012-12-31,0.11557374157504796,0.6626073114399667,0.16,2.2440199108729075
2013-03-31,0.9817259265515688,0.4011496360058153,0.14,1.5255198179707108
2013-06-30,0.26727882651371715,-0.10940166141217844,0.12,1.0675282999725866
2013-09-30,0.8477896552497199,0.5393860652711524,0.08,1.376525974372278
2013-12-31,0.8679640238263175,0.3692275026824454,0.09,1.940400485587368
2014-03-31,-0.34569281496601434,0.6207127876649565,0.07,1.5487544099892503
2014-06-30,1.2835690229149321,0.5295328917980235,0.09,1.3522069046885576
2014-09-30,1.2080648325781596,0.2555076756340924,0.09,1.2530986460044247
2014-12-31,0.5044586015433339,-0.24875320079189578,0.1,1.4226025560303057
2015-03-31,0.8964547876924911,-0.6492443021456573,0.11,1.9875785697806236
2015-06-30,0.6174946582536478,0.679633794368506,0.12,0.8676880432076928
2015-09-30,0.39944621156902116,0.37698937901513574,0.14,1.0811544995000588
2015-12-31,0.18430917271050618,-0.00756792210445667,0.16,1.5712453409227223
2016-03-31,0.5778466518471248,-0.062246861277248655,0.36,2.255855732134826
2016-06-30,0.32060956626729364,0.7966032667445333,0.37,1.5925838711476459
2016-09-30,0.7068859191104337,0.4235767905926835,0.4,1.5013103490412405
2016-12-31,0.5527685286210726,0.6330524806000604,0.45,1.5732931415710638
2017-03-31,0.48570873310360696,0.7012749584807132,0.7,1.4621686160841918
2017-06-30,0.5583111012978037,0.11517362362916117,0.95,1.1981624474596941
2017-09-30,0.785431525684821,0.4769045852770937,1.15,1.061891803457904
2017-12-31,1.1207427769393874,0.7922481923350766,1.2,1.1107951894492984
2018-03-31,0.8101194549169577,0.8393798275407427,1.45,0.7387607339710556
2018-06-30,0.5294212303768475,0.5428002471180804,1.74,0.8936034985993047
2018-09-30,0.621760482522582,0.40090426233669874,1.92,0.9773518119626345
2018-12-31,0.14154399831838305,0.40642645017046064,2.22,0.742187478363121
2019-03-31,0.6223772907267389,0.26674744179171483,2.4,1.3169652478724814
2019-06-30,0.8316777932895647,0.7317686050559047,2.4,1.2009806982677063
2019-09-30,1.1632102580909631,0.3293336518578549,2.19,1.8947408910133134
2019-12-31,0.6795635968053659,0.7000341830969425,1.64,2.1462196969338265
2020-03-31,-1.3250619707966038,0.35997298434669034,1.26,2.342688638296231
2020-06-30,-8.204320604026982,-0.9807692524462119,0.06,12.276107465685726
2020-09-30,7.4757496362447995,1.136741795841445,0.09,4.174558705508957
2020-12-31,1.127138965704333,0.7187998214476465,0.09,2.8626361709612524
2021-03-31,1.386164653473898,0.988616568259193,0.08,3.314664472287987
2021-06-30,1.6875713541763204,1.838981983644139,0.07,3.8149118515711677
2021-09-30,0.8216679141918704,1.5905304402530795,0.09,2.191963098808536
2021-12-31,1.701202308971439,2.1149980272061164,0.08,2.392554052392093
2022-03-31,-0.2551237912953752,2.1741066846604262,0.12,1.6503222760245961
2022-06-30,0.1564245950852694,2.361270928690118,0.77,0.1383795972564883
2022-09-30,0.719306332529257,1.3138027276602848,2.19,-0.48377912638883913
2022-12-31,0.6878691350323152,1.0067323404976847,3.65,-1.1928311483563547
2023-03-31,0.7212436699248315,0.8984702505331121,4.52,-1.1560059336662931
2023-06-30,0.6259090548015322,0.738323213161518,4.99,-1.5165198258632273
2023-09-30,1.1470027396091709,0.8591180156096279,5.26,-0.1189854106277366
2023-12-31,0.8405149026469161,0.6890291017955796,5.33,-0.24806004766695366
2024-03-31,0.20964144146446984,0.9096668944573061,5.33,0.7217154058695385
2024-06-30,0.8815888542736516,0.6800545381379308,5.33,0.6951079011868089
2024-09-30,0.8213953149049047,0.34657659129182505,5.26,0.8562406888573904
2024-12-31,0.45882049283303417,0.7470838049171036,4.65,0.9837662856893914
2025-03-31,-0.16264860564216832,0.9285777638728732,4.33,0.8587821263605022
2025-06-30,0.9415531607956495,0.4085641611884405,4.33,1.3001376373351192
